2165001	MARTIN	ADAM	638412609	adam.martin@etu-esad.fr	1
2165002	BERNARD	HARIS	638412610	haris.bernard@etu-esad.fr	1
2165003	THOMAS	KAMELIA	638412611	kamelia.thomas@etu-esad.fr	1
2165004	PETIT	MOHAMED	638412612	mohamed.petit@etu-esad.fr	1
2165005	ROBERT	AYOUB	638412613	ayoub.robert@etu-esad.fr	1
2165006	RICHARD	QUENTIN	638412614	quentin.richard@etu-esad.fr	1
2165007	DURAND	AMADOU	638412615	amadou.durand@etu-esad.fr	1
2165008	DUBOIS	CLAIRE	638412616	claire.dubois@etu-esad.fr	1
2165009	MOREAU	HABIB	638412617	habib.moreau@etu-esad.fr	1
2165010	LAURENT	FABRICE	638412618	fabrice.laurent@etu-esad.fr	1
2165011	SIMON	HEDI	638412619	hedi.simon@etu-esad.fr	1
2165012	MICHEL	ANTHONY	638412620	anthony.michel@etu-esad.fr	1
2165013	LEFEBVRE	FABIEN	633311121	fabien.lefebvre@etu-esad.fr	1
2165014	LEROY	LOREN	633311122	loren.leroy@etu-esad.fr	1
2165015	ROUX	ANTONIN	633311123	antonin.roux@etu-esad.fr	1
2165016	DAVID	MAXIME	633311124	maxime.david@etu-esad.fr	1
2165017	BERTRAND	MARTIN	633311125	martin.bertrand@etu-esad.fr	1
2165018	MOREL	OUSSAMA	633311126	oussama.morel@etu-esad.fr	1
2165019	FOURNIER	ANTAR	633311127	antar.fournier@etu-esad.fr	1
2165020	GIRARD	AHMED	633311128	ahmed.girard@etu-esad.fr	1
2165021	BONNET	MARTIN	633311129	martin.bonnet@etu-esad.fr	1
2165022	DUPONT	ADAM	633311130	adam.dupont@etu-esad.fr	1
2165023	LAMBERT	RICARDO	633311131	ricardo.lambert@etu-esad.fr	1
2165024	FONTAINE	RYAN	633311132	ryan.fontaine@etu-esad.fr	1
2165025	ROUSSEAU	JEAN	633311133	jean.rousseau@etu-esad.fr	1
2165026	VINCENT	QUENTIN	633311134	quentin.vincent@etu-esad.fr	1
2165027	MULLER	LAURENCE	633311135	laurence.muller@etu-esad.fr	1
2165028	LEFEVRE	ALRTHUR	633311136	alrthur.lefevre@etu-esad.fr	1
2165029	FAURE	MAMADOU	633311137	mamadou.faure@etu-esad.fr	1
2165030	ANDRE	SOULEYMANE	633311138	souleymane.andre@etu-esad.fr	1
2165031	MERCIER	JULIETTE	633311139	juliette.mercier@etu-esad.fr	2
2165032	BLANC	LOIC	633311140	loic.blanc@etu-esad.fr	2
2165033	GUERIN	SANDY	623232323	sandy.guerin@etu-esad.fr	2
2165034	BOYER	AMINA	623232324	amina.boyer@etu-esad.fr	2
2165035	GARNIER	KATIA	623232325	katia.garnier@etu-esad.fr	2
2165036	CHEVALIER	BASTIEN	623232326	bastien.chevalier@etu-esad.fr	2
2165037	FRANCOIS	MAELYS	623232327	maelys.francois@etu-esad.fr	2
2165038	LEGRAND	NICOLAS	623232328	nicolas.legrand@etu-esad.fr	2
2165039	GAUTHIER	MATHIEU	623232329	mathieu.gauthier@etu-esad.fr	2
2165040	GARCIA	MOHAMED	623232330	mohamed.garcia@etu-esad.fr	2
2165041	PERRIN	ROSE	623232331	rose.perrin@etu-esad.fr	2
2165042	ROBIN	CAMILLE	623232332	camille.robin@etu-esad.fr	2
2165043	CLEMENT	GAETAN	623232333	gaetan.clement@etu-esad.fr	2
2165044	MORIN	ETIENNE	623232334	etienne.morin@etu-esad.fr	2
2165045	NICOLAS	EMMA	623232335	emma.nicolas@etu-esad.fr	2
2165046	HENRY	JORDAN	623232336	jordan.henry@etu-esad.fr	2
2165047	ROUSSEL	TIMOTHEE	623232337	timothee.roussel@etu-esad.fr	2
2165048	MATHIEU	STEPAN	623232338	stepan.mathieu@etu-esad.fr	2
2165049	GAUTIER	CHRISTOPHE	623232339	christophe.gautier@etu-esad.fr	2
2165050	MASSON	CYRIL	623232340	cyril.masson@etu-esad.fr	2
2165051	MARCHAND	SEBASTIEN	623232341	sebastien.marchand@etu-esad.fr	2
2165052	DUVAL	TRISTAN	623232342	tristan.duval@etu-esad.fr	2
2165053	DENIS	RODOLPHE	623232343	rodolphe.denis@etu-esad.fr	2
2165054	DUMONT	PIERRE	623232344	pierre.dumont@etu-esad.fr	2
2165055	MARIE	ROSALIE	678231523	rosalie.marie@etu-esad.fr	2
2165056	LEMAIRE	MARC	678231524	marc.lemaire@etu-esad.fr	2
2165057	NOEL	CECILE	678231525	cecile.noel@etu-esad.fr	2
2165058	MEYER	GAEL	678231526	gael.meyer@etu-esad.fr	2
2165059	DUFOUR	THIBAUT	678231527	thibaut.dufour@etu-esad.fr	2
2165060	MEUNIER	CHARLOTTE	678231528	charlotte.meunier@etu-esad.fr	2
2165061	BRUN	THOMAS	678231529	thomas.brun@etu-esad.fr	3
2165062	BLANCHARD	LOUIS	678231530	louis.blanchard@etu-esad.fr	3
2165063	GIRAUD	ROSE	678231531	rose.giraud@etu-esad.fr	3
2165064	JOLY	HERVE	678231532	herve.joly@etu-esad.fr	3
2165065	RIVIERE	DIDIER	678231533	didier.riviere@etu-esad.fr	3
2165066	LUCAS	THEO	678231534	theo.lucas@etu-esad.fr	3
2165067	BRUNET	MAXIME	678231535	maxime.brunet@etu-esad.fr	3
2165068	RENAUD	PHILIPPE	678231536	philippe.renaud@etu-esad.fr	3
2165069	GAILLARD	LIONEL	678231537	lionel.gaillard@etu-esad.fr	3
2165070	BARBIER	LOIC	678231538	loic.barbier@etu-esad.fr	3
2165071	ARNAUD	DAMIEN	678231539	damien.arnaud@etu-esad.fr	3
2165072	MARTINEZ	ARNAUD	678231540	arnaud.martinez@etu-esad.fr	3
2165073	GERARD	THEO	678231541	theo.gerard@etu-esad.fr	3
2165074	ROCHE	ALEXANDRE	678231542	alexandre.roche@etu-esad.fr	3
2165075	RENARD	FLORIANE	678231543	floriane.renard@etu-esad.fr	3
2165076	SCHMITT	MATHIS	678231544	mathis.schmitt@etu-esad.fr	3
2165077	ROY	LUKE	678231545	luke.roy@etu-esad.fr	3
2165078	LEROUX	CLOE	656986522	cloe.leroux@etu-esad.fr	3
